DESTINATION_NUMBER,DESTINATION_NAME,DESTINATION_LOCATION,LATITUDE,LONGITUDE
1,Station Service Afriquia,https://maps.app.goo.gl/DFDSmJJKUgkEBAAs7,33.1289375,-8.5731875
2,Station Service Cepsa,https://maps.app.goo.gl/f6Q9BAL16irfHR518,33.1303375,-8.5762969
3,Okay Energy,https://maps.app.goo.gl/t754Yow6ZuL1ab1v6,33.1331875,-8.4825625
5,Shell,https://maps.app.goo.gl/nCNSydn62ZWbQJwn8,32.7334943,-9.034199899999999
6,TotalEnergies ISMAILIYA,https://maps.app.goo.gl/BgtVZb3mvS7W3q5cA,33.8990221,-5.5412857
7,TotalEnergies JORF,https://maps.app.goo.gl/Rrr8HEH75YXcuT7P9,33.1760943,-8.608509
8,Station Service Petromin,https://maps.app.goo.gl/PVuANCgQnR2v1n3a9,32.3061433,-9.2221699
9,Guiri Afriquia Fuel Station,https://maps.app.goo.gl/ZicpnHz2ye5UPVyM9,33.0479375,-8.688203099999999
12,TotalEnergies AOUAL MAHFOUD,https://maps.app.goo.gl/2eUEALRU9v5pPQ8x5,32.7361897,-9.0294708
13,Station Service AM Petro Service,https://maps.app.goo.gl/MwTCH1HjrDfQkroh9,32.9617875,-8.706484399999999
14,Station Service Petrofib,https://maps.app.goo.gl/2Y7RvfvWqGgyXTQc7,32.0325375,-7.5332344
15,TotalEnergies RELAIS MAZAGAN,https://maps.app.goo.gl/PgLqY8NujuM3kTkM8,33.2316326,-8.500711599999999
16,TotalEnergies AL FATH,https://maps.app.goo.gl/askpVyhjRKptzCD36,33.2487152,-8.5011923
17,Total service station Doukkala,https://maps.app.goo.gl/fFgLA1y7t13dJF8C8,33.2157534,-8.4924976
18,Service Station Tangueda,https://maps.app.goo.gl/KeH1D4zcLiy7RLsm9,31.791702,-7.092619999999999
19,Station Service Samir,https://maps.app.goo.gl/pkcqCUxZPmtE2g7D6,33.18673750000001,-8.4910781
