TANK_CODE,successive_less_minus20,successive_less_minus20_abs_sum,last_date_less_minus20,max_folio_date,repaired,cluster
TK-100,1,21,308,2023-07-08,1,2
TK-101,5,121,309,2023-07-07,1,1
TK-102,3,395,351,2023-05-26,1,1
TK-103,2,57,297,2023-07-19,1,2
TK-104,1,25,320,2023-06-26,1,2
TK-105,2,731,424,2023-03-14,1,3
TK-106,1,91,313,2023-07-03,1,2
TK-200,0,0,0,No less than -20 values found,0,0
TK-201,1,61,374,2023-05-03,1,2
TK-202,1,21,301,2023-07-15,1,2
TK-203,1,29,299,2023-07-17,1,2
TK-205,4,94,358,2023-05-19,1,1
TK-300,0,0,0,No less than -20 values found,0,0
TK-305,0,0,0,No less than -20 values found,0,0
TK-306,0,0,0,No less than -20 values found,0,0
TK-400,0,0,0,No less than -20 values found,0,0
TK-500,1,39,957,2021-09-27,1,4
TK-600,0,0,0,No less than -20 values found,0,0
